_id,year_-_month,product_type,unpackaged_production_units,unpackaged_inventory_units,packaged_production_units,packaged_inventory_units_-_federal_licence_holders,packaged_inventory_units_-_provincial_distributors_and_retailer,sales_units_-_medical,sales_units_-_non-medical,unpackaged_production_kilograms,unpackaged_inventory_kilograms,packaged_production_kilograms,packaged_inventory_kilograms_-_federal_licence_holders,packaged_inventory_kilograms_-_provincial_distributors_and_reta,sales_kilograms_-_medical,sales_kilograms_-_non-medical
1,2019-10 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,732388,5630075,1820111,167357,320201,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
2,2019-11 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,430658,5595722,1676016,182506,328908,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
3,2019-12 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,1245160,5882326,1776396,195560,400707,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
4,2020-01 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,973120,6009120,1803543,201236,527978,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
5,2020-02 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,1127995,5877090,2023192,187945,599407,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
6,2020-03 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,1568246,6261853,2261735,246229,791435,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
7,2020-04 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2088349,6931819,2430559,218831,813972,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
8,2020-05 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,1574352,6989660,2290549,210662,844430,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
9,2020-06 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,1795493,7007428,2732289,225437,934089,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
10,2020-07 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,1453461,7172408,2643443,275208,1077533,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
11,2020-08 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,1590358,7527769,2546740,221216,1113893,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
12,2020-09 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2047877,7223727,2669922,213133,1205835,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
13,2020-10 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2341292,6639169,3173206,223025,1328769,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
14,2020-11 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,3106745,6851201,3588152,238509,1247529,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
15,2020-12 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,3170824,6976415,4570817,240110,1556731,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
16,2021-01 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2718205,7482912,4597434,231413,1615524,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
17,2021-02 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2234116,7884432,4459299,218584,1480795,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
18,2021-03 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2821170,8387247,4426691,263883,1692092,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
19,2021-04 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2341491,8359739,4457567,236798,1707568,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
20,2021-05 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2521420,8387071,4459707,238069,1723612,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
21,2021-06 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2536983,8150846,4848691,235365,1793926,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
22,2021-07 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2411038,8077926,4831087,228859,1983410,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
23,2021-08 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2363834,7957514,4717177,262382,2133497,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
24,2021-09 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2807272,8146436,4723423,250988,2165514,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
25,2021-10 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2891635,8344108,4824926,215021,2291770,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
26,2021-11 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,3719242,8921729,5117633,253392,2230254,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
27,2021-12 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,2946046,8422254,5489387,253009,2621361,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
28,2022-01 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,3418710,8669829,5582708,245246,2567891,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
29,2022-02 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,3218244,8927481,5604759,251269,2442750,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
30,2022-03 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,3242933,8805712,5679786,252786,2774329,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
31,2022-04 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,"3,879,096","9,834,633","5,669,815","233,259","2,885,436",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
32,2022-05 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,"4,116,496","10,161,947","6,145,851","240,844","2,876,505",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
33,2022-06 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,"4,713,246","10,695,876","6,690,370","240,012","3,056,316",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
34,2022-07 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,"4,132,412","10,287,053","6,295,446","222,367","3,265,371",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
35,2022-08 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,"4,183,514","9,253,771","6,768,848","233,803","3,284,090",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
36,2022-09 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,"4,310,801","8,558,490","6,991,639","231,044","3,378,503",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
37,2022-10 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,"5,158,274","8,891,529","7,372,674","237,898","3,594,056",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
38,2022-11 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,"5,509,675","9,363,351","8,462,521","280,379","3,563,117",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
39,2022-12 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,"4,482,672","8,986,217","8,139,183","248,959","4,273,642",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
40,2023-01 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,"5,322,606","9,261,350","8,445,739","246,873","4,061,989",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
41,2023-02 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,"4,878,194","9,045,930","8,993,159","214,957","3,778,486",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
42,2023-03 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,"5,745,362","9,476,006","9,460,761","313,007","4,333,040",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
43,2023-04 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,"5,124,511","8,634,371",9262759,"227,215","4,377,358",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
44,2023-05 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,"5,479,027","8,429,127",9652623,"321,976","4,506,658",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
45,2023-06 ,cannabis extracts / extraits de cannabis,n/a / n/d,n/a / n/d,"5,603,531","8,506,914",9660706,238030,4669289,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
46,2019-10 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,3,4225,10373,68,677,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
47,2019-11 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,275,4208,9656,19,559,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
48,2019-12 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,586,4762,8864,20,689,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
49,2020-01 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,5,4737,8322,30,533,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
50,2020-02 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,883,5742,7695,47,623,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
51,2020-03 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,1,4779,6973,73,1469,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
52,2020-04 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,1275,9171,5552,62,1798,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
53,2020-05 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,51504,73073,17469,43,4397,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
54,2020-06 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,32760,53082,35230,15,4275,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
55,2020-07 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,14409,52369,45559,23,3003,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
56,2020-08 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,0,48517,45711,21,2186,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
57,2020-09 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,7569,48566,51444,20,2200,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
58,2020-10 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,7232,57791,46566,22,2593,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
59,2020-11 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,1383,52625,48082,27,1947,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
60,2020-12 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,1543,50536,49669,40,2589,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
61,2021-01 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,11608,55712,51230,17,3246,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
62,2021-02 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,18668,68621,51510,11,3857,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
63,2021-03 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,32155,72309,59019,84,8548,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
64,2021-04 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,24696,66858,77604,66,11597,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
65,2021-05 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,12705,56426,86578,37,9754,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
66,2021-06 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,9900,54043,88863,32,5418,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
67,2021-07 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,60,57474,79293,10,3144,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
68,2021-08 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,1314,31714,75137,40,2654,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
69,2021-09 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,1230,30150,69124,34,2910,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
70,2021-10 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,10,29964,67588,16,3021,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
71,2021-11 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,2357,32155,63806,35,2604,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
72,2021-12 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,10040,41132,61159,38,4261,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
73,2022-01 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,17969,29958,85184,22,9729,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
74,2022-02 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,10169,33774,69691,16,5210,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
75,2022-03 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,36084,39195,77318,2,10352,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
76,2022-04 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,"5,563","34,731","80,894",2,"14,459",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
77,2022-05 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,"7,437","36,774","70,233",0,"12,249",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
78,2022-06 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,"2,309","37,306","69,051",0,"6,274",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
79,2022-07 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,48,"36,952","62,187",0,"3,521",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
80,2022-08 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,684,"36,290","66,883",2,"3,421",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
81,2022-09 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,60,"36,290","59,340",6,"3,120",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
82,2022-10 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,0,"40,582","56,910",0,"3,271",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
83,2022-11 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,445,"33,949","46,126",30,"2,688",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
84,2022-12 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,"9,897","42,722","42,431",0,"3,079",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
85,2023-01 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,"18,549","39,909","65,205",2,"3,975",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
86,2023-02 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,"12,090","39,327","71,742",20,"5,597",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
87,2023-03 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,"6,093","35,680","62,893",53,"11,610",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
88,2023-04 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,3397,"22,514","49,708",40,"14,744",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
89,2023-05 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,3417,"22,502","42,972",61,"10,667",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
90,2023-06 ,cannabis seeds / graines de cannabis,n/a / n/d,n/a / n/d,2482,"18,887","40,812",25,"5,527",n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
91,2019-10 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,0,187,0,0,0,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
92,2019-11 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,0,10,1095,0,0,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
93,2019-12 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,0,10,4670,6,328,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
94,2020-01 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,0,10,4443,0,279,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
95,2020-02 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,3170,3180,920,0,313,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
96,2020-03 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,32458,23536,2798,0,202,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
97,2020-04 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,11872,5341,31776,165,1736,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
98,2020-05 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,45791,24402,24690,237,6068,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
99,2020-06 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,28483,11924,50342,317,7874,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
100,2020-07 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,44336,25242,56222,415,10030,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
101,2020-08 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,27482,34489,54265,438,10940,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
102,2020-09 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,35794,29107,69625,553,11003,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
103,2020-10 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,24851,33457,64633,651,10984,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
104,2020-11 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,45201,49006,64242,653,9287,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
105,2020-12 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,51844,45875,77918,628,17273,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
106,2021-01 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,63687,67189,73378,368,18590,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
107,2021-02 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,85324,106190,79244,794,18854,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
108,2021-03 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,150581,209113,113914,3318,23614,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
109,2021-04 ,cannabis topicals / cannabis pour usage topique,n/a / n/d,n/a / n/d,112543,234360,154500,4672,26041,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d,n/a / n/d
